Date,Open,High,Low,Close,Volume,MA50,MA200,MA_Spread,Volatility_20D,ROC_5D,Target
2020-10-19,986.757080078125,1010.5622392043456,977.2123844835456,993.03711473914,31200385,993.5331785122934,759.3234128073486,234.20976570494474,14.010164508880516,-2.0111830992843296,0
2020-10-20,977.5525512695312,994.3748516393612,975.8974927608745,988.0268126324808,18482288,993.7136460232756,760.8681371918257,232.84550883144993,13.996121678805737,-2.313269252447115,0
2020-10-21,963.3601684570312,993.9214519641914,951.18551250082,983.0391077416422,34082321,994.014726263332,762.4013432342117,231.6133830291203,14.902207798967245,-4.866382588521099,0
2020-10-22,955.35693359375,966.9421018379,948.1247264007278,964.6296137675084,30802210,994.0727647182057,763.795529739871,230.27723497833472,17.867445285683203,-7.100435796363837,0
2020-10-23,958.1229858398438,968.075764596618,950.573367065108,954.9262685377892,23422125,993.8732561056732,765.1702774891735,228.70297861649976,21.494999820560928,-4.920993104113191,0
2020-10-26,920.0572509765624,953.0896904842624,915.250871932962,953.0896904842624,37324416,993.6864399305618,766.5380793387474,227.14836059181448,24.42816952723137,-4.022752388803847,0
2020-10-27,922.5059814453124,934.000419110724,909.129746090359,922.6873248555474,36478896,993.0507302000218,767.762815842459,225.28791435756284,30.41973610194621,-6.613129010420675,0
2020-10-28,912.0543212890624,933.0255097674074,910.2179195551136,925.8159103792912,29924017,992.6589647069918,768.9504078653066,223.7085568416852,34.523133537285105,-5.821049937047892,0
2020-10-29,919.0598754882812,925.906728755729,902.7817254651688,905.5022964499228,30655304,991.3530844395259,770.0066825625972,221.34640187692867,39.227649066396516,-6.1295357797128815,0
2020-10-30,931.5745239257812,936.3809035347286,916.7473024873174,922.0524364064572,34021563,990.5686471852624,771.1610301506163,219.40761703464614,40.9967453954914,-3.4425518717449575,0
2020-11-02,851.2944946289062,919.105110257612,842.9967150587656,919.105110257612,99366895,989.7434005943078,772.3119366414654,217.43146395284236,42.7048214464088,-3.5657273985812363,1
2020-11-03,839.0291748046875,865.600239943717,832.0917105106013,856.9850494031045,88691623,987.9169784791691,773.1615257008515,214.7554527783176,50.09420900097737,-7.1207519256568315,1
2020-11-04,867.5046997070312,874.6689636295238,832.9532636853438,832.9532636853438,80180117,985.4775189355588,773.9062776970608,211.57124123849803,57.895404892808486,-10.030357617844682,1
2020-11-05,886.4581298828125,889.1560327894556,876.0292050636682,886.4354619573483,37205373,984.2981448856249,774.8636398008978,209.4345050847271,58.420333650269576,-2.105663847273194,1
2020-11-06,920.0800170898438,924.9997362683604,896.955016187128,902.3282137896616,66674086,982.8653013128653,775.7763251288487,207.0889761840166,57.96601026265893,-2.139164958304043,0
2020-11-09,929.8515014648438,938.1492815350944,923.1860519106892,935.0206280565576,35838510,982.3402291838368,777.0323080513547,205.30792113248208,56.113746591787276,1.7316319560539437,0
2020-11-10,945.2001342773438,947.6713579150476,925.543924674604,941.7767378395364,36934242,981.4605733561143,778.2876258588055,203.17294749730877,54.00414272924156,9.89418525976501,1
2020-11-11,905.5928955078124,949.938492845278,896.9323689240059,947.2179220787752,56724780,981.3608198471475,779.5869251601368,201.77389468701062,49.69945683118313,13.718015568829802,0
2020-11-12,897.7938842773438,910.6940326424576,890.9924272689508,898.247362719015,40046527,980.354202806314,780.6626209695175,199.69158183679644,44.54488376641336,1.332516722151969,1
2020-11-13,905.2301635742188,923.4807818666762,898.5874420075651,898.7007816340105,45388670,979.0301836519252,781.7676487831297,197.26253486879546,41.66758842758531,-0.40200806094895386,0
2020-11-14,907.9053955078124,913.8000155522184,904.7540741586882,913.6186721505104,5226220,978.4076240390485,782.9613579156337,195.44626612341483,38.677800134544896,-2.28892874273065,0
2020-11-17,903.8018188476562,945.4041769988106,900.0610116001939,945.4041769988106,46542562,978.4166920398166,784.3912744490668,194.02541759074973,35.96246342547643,0.3851697555830132,0
2020-11-18,901.05859375,909.8098520291384,888.7705994600573,903.801832450074,30402290,977.5211659812445,785.6021078117836,191.91905816946087,32.9455386895201,-4.5835376017189144,0
2020-11-19,894.6878662109375,911.6008364153228,892.4433818817643,901.0585724391552,27796343,976.6342537818502,786.857380615577,189.77687316627328,31.07255954756217,0.31296609784977936,0
2020-11-20,861.292724609375,899.5169641211087,859.2522514859126,895.5267495451352,57471248,974.7470745577795,788.2708691105113,186.47620544726817,29.696380086062057,-0.35318007436293375,0
2020-11-23,884.5084228515625,893.2596216864068,873.4220078266853,884.6444304096374,45327567,971.4732975382408,789.5626195196483,181.91067801859253,28.43064379700975,-3.171371451140809,0
2020-11-24,890.5616455078125,895.0732820966707,876.0291671598031,890.538977583329,30936268,968.1995236407316,790.805780218571,177.39374342216058,28.402496859884664,-5.8033591082336216,0
2020-11-25,883.193359375,903.6657931642696,880.654192057057,897.7938413094128,32637879,965.1891893611411,792.0422689948448,173.14692036629629,28.027778714870767,-0.6647465102360414,0
2020-11-26,885.3699340820312,890.9924794007771,875.1450800459091,885.574005389529,25838637,961.8614610951751,793.2245920019924,168.63686909318267,28.321842997167145,-1.718486180949332,1
2020-11-27,875.0315551757812,886.9568018403075,871.2227443709401,879.8832703592948,47336811,958.4199189068988,794.4299068120474,163.9900120948514,28.393622463353474,-1.746846668040481,1
2020-12-01,886.4127197265625,891.5591779283297,875.1449626736697,879.8152745444881,19750687,955.0291592953201,795.591488622966,159.4376706723541,28.421889060401966,-0.5458866522126948,1
2020-12-02,887.8864135742188,889.6321436054803,877.3894853981996,888.0450890461269,22188887,951.9322221843236,796.7746477146216,155.157574469702,26.816233632560774,-0.2800426034096586,1
2020-12-03,890.5616455078125,898.2926670858094,888.1130898872199,894.166445181224,27785372,949.1662921225255,797.9400996345514,151.22619248797412,21.719723393841385,-0.4040344187367368,1
2020-12-04,882.71728515625,892.8061306985533,879.6566356036066,892.8061306985533,18464552,946.5273233491363,799.0998681796185,147.42745516951777,21.502225380415165,0.8166596202022794,1
2020-12-07,887.9091186523438,890.9924362657266,879.9287495447478,879.9287495447478,18242188,944.10327944688,800.1689682250815,143.93431122179857,22.156242664472256,0.005168774880155115,1
2020-12-08,904.028564453125,913.3239128258732,884.1909519390108,889.2467387240156,43403061,942.0369936687476,801.3139597423379,140.7230339264097,20.97205861122744,1.0719823186077833,1
2020-12-09,919.0824584960938,922.188503884498,906.5224492987908,911.374164756824,29175254,940.0686494545812,802.5618714970255,137.50677795755564,18.8040850833811,2.6270147764406304,0
2020-12-10,910.0364990234376,919.7852655926706,907.3159283447816,916.6566123106188,16065507,938.2240894284292,803.7967166402175,134.42737278821176,15.644740509113857,2.5152103672193378,0
2020-12-11,909.492431640625,924.0929139357568,895.1866323672836,912.7570925495094,26944202,935.9841394899455,805.0730159386048,130.91112355134067,16.020859388084308,2.234635400111555,0
2020-12-14,902.9176635742188,913.6639990942832,900.6731791916262,910.4672819578382,17312747,933.6639320558036,806.3789111006492,127.28502095515432,16.259623337534318,3.4705687737660815,1
2020-12-15,895.2320556640625,902.1921882018914,889.2240359631435,902.1921882018914,18551265,931.3577816894403,807.7360326393538,123.62174905008658,15.90301680152526,1.4557769980074755,0
2020-12-16,896.2295532226562,904.5727289498444,891.3098338764274,901.4213476389596,18561011,929.206251020299,809.1385093569218,120.0677416633772,11.425811825019661,-1.0920670678129343,0
2020-12-17,900.3331298828125,909.129724301802,896.5016507528353,899.8343755485606,20252358,926.9345615569084,810.6070878160036,116.3274737409048,11.315029963913497,-1.8351732302082389,0
2020-12-18,903.031005859375,909.0843613071538,890.9924186751066,897.8392714360722,18466344,924.4053251017581,812.0652433330641,112.34008176869395,11.257338324461417,-1.6343692352769112,1
